,0,1,2,3,4,5,6,7,8,9
0,32.944,33.172,34.081,33.854,33.399,33.626,33.399,33.631,32.944,33.172
1,48.525,47.854,47.854,47.849,47.389,47.854,46.712,47.854,48.071,47.854
2,71.899,71.899,71.667,71.444,71.212,70.762,71.667,71.894,71.899,72.121
3,68.51,69.642,68.51,68.283,68.278,68.96,68.056,68.283,69.642,69.642
4,72.333,72.333,72.788,72.561,72.788,73.47,72.788,72.788,72.561,72.788
5,72.384,74.151,73.05,74.606,74.151,74.379,72.384,73.05,74.379,74.151
6,75.116,77.338,77.338,75.116,74.889,77.566,77.338,77.338,77.338,77.338
7,79.611,78.929,77.414,79.611,78.929,80.293,79.157,79.384,79.157,79.839
8,81.414,79.667,78.53,81.414,81.414,80.732,79.212,79.212,79.212,81.414
9,83.909,80.581,84.136,80.798,83.894,83.909,83.909,83.909,85.025,83.662
10,81.035,81.49,84.798,83.899,84.126,84.126,84.581,84.126,84.126,81.717
11,83.227,84.798,83.227,85.934,83.227,83.682,83.227,83.682,83.682,85.025
12,84.591,84.364,84.364,83.682,84.364,83.682,80.596,85.045,81.959,83.682
