,0,1,2,3,4,5,6,7,8,9
0,0.158,0.153,0.159,0.156,0.152,0.163,0.153,0.15,0.161,0.159
1,0.164,0.161,0.159,0.171,0.153,0.163,0.169,0.155,0.164,0.163
2,0.162,0.172,0.159,0.167,0.17,0.16,0.175,0.16,0.169,0.166
3,0.163,0.178,0.162,0.166,0.171,0.163,0.173,0.165,0.17,0.169
4,0.178,0.18,0.166,0.175,0.169,0.168,0.176,0.164,0.174,0.167
5,0.172,0.177,0.173,0.177,0.171,0.178,0.174,0.168,0.194,0.167
6,0.176,0.171,0.177,0.19,0.17,0.189,0.17,0.182,0.174,0.177
7,0.182,0.178,0.196,0.174,0.185,0.176,0.184,0.184,0.193,0.183
8,0.184,0.198,0.181,0.188,0.183,0.188,0.182,0.18,0.182,0.174
9,0.186,0.173,0.186,0.173,0.181,0.177,0.181,0.187,0.173,0.187
10,0.176,0.192,0.173,0.189,0.179,0.18,0.23,0.24,0.198,0.202
11,0.189,0.209,0.19,0.218,0.194,0.203,0.195,0.198,0.202,0.197
12,0.214,0.174,0.185,0.189,0.185,0.184,0.182,0.188,0.177,0.186
