,0,1,2,3,4,5,6,7,8,9
0,34.308,33.854,33.626,33.626,33.626,34.535,33.172,33.399,33.626,32.944
1,50.101,48.51,48.51,49.419,49.419,49.192,49.647,49.192,48.738,48.51
2,70.525,70.298,70.298,70.525,71.202,70.525,70.298,69.844,71.884,71.429
3,70.288,70.06,70.06,70.737,70.965,72.328,70.965,70.737,71.424,70.06
4,77.086,76.404,76.859,76.854,76.859,76.404,76.859,76.404,76.631,77.313
5,76.662,77.985,76.434,77.758,78.212,77.985,78.025,77.985,76.662,77.985
6,81.843,81.616,81.843,81.616,81.843,81.843,83.207,81.616,79.833,81.843
7,82.556,83.01,83.889,83.662,83.662,84.798,83.662,84.571,85.253,84.116
8,85.253,85.025,85.253,85.49,85.025,86.854,85.253,85.025,85.263,85.717
9,86.838,86.838,86.838,84.616,88.202,86.399,86.838,86.399,86.384,87.535
10,87.086,87.061,88.197,88.197,87.742,85.066,87.061,86.833,88.424,84.838
11,86.202,87.535,85.747,87.293,87.747,87.066,85.975,85.975,87.293,87.293
12,85.929,85.066,84.838,86.838,85.94,84.384,85.748,85.929,85.702,85.929
