,0,1,2,3,4,5,6,7,8,9
0,0.151,0.173,0.217,0.168,0.164,0.15,0.156,0.161,0.164,0.222
1,0.179,0.19,0.18,0.2,0.178,0.186,0.183,0.163,0.185,0.172
2,0.205,0.178,0.184,0.2,0.193,0.192,0.183,0.192,0.227,0.194
3,0.185,0.185,0.19,0.183,0.229,0.183,0.195,0.182,0.188,0.185
4,0.195,0.194,0.189,0.194,0.186,0.197,0.189,0.2,0.192,0.193
5,0.281,0.285,0.279,0.284,0.281,0.278,0.309,0.282,0.28,0.29
6,0.314,0.334,0.32,0.316,0.322,0.316,0.335,0.339,0.329,0.378
7,0.437,0.401,0.398,0.396,0.404,0.398,0.393,0.393,0.395,0.388
8,0.437,0.44,0.431,0.438,0.433,0.432,0.439,0.445,0.444,0.426
9,0.59,0.618,0.62,0.629,0.604,0.629,0.521,0.534,0.501,0.592
10,0.549,0.568,0.57,0.617,0.494,0.519,0.494,0.592,0.719,0.587
11,0.644,0.803,0.631,0.559,0.605,0.731,0.777,0.768,0.772,0.677
12,0.598,0.621,0.872,0.872,0.899,0.651,0.639,0.648,0.607,0.612
