,0,1,2,3,4,5,6,7,8,9
0,28.632,33.994,32.174,32.359,34.45,34.179,31.45,32.902,31.904,30.899
1,41.606,44.147,46.227,45.496,46.952,46.585,44.404,43.315,44.951,43.592
2,61.324,66.679,69.763,68.475,69.03,68.213,66.752,68.21,67.663,68.025
3,64.505,71.305,72.116,70.928,69.481,70.843,70.661,69.299,69.844,71.021
4,71.13,74.482,76.572,75.928,74.476,75.749,77.293,76.02,75.473,75.197
5,73.213,77.388,78.659,77.107,75.195,77.292,78.742,77.924,77.744,79.014
6,74.395,79.113,81.292,80.288,78.923,79.024,80.654,80.926,81.378,80.745
7,80.934,84.741,84.651,83.195,82.924,83.113,83.384,83.746,83.476,83.02
8,83.748,86.102,86.286,84.102,83.92,84.109,86.107,85.196,85.652,84.559
9,84.473,87.465,87.74,85.466,84.742,85.651,87.65,86.65,86.649,86.377
10,85.292,88.467,88.284,85.557,85.195,85.74,87.102,87.74,87.286,86.466
11,85.924,88.283,87.559,85.559,84.197,85.651,87.646,87.008,86.828,86.192
12,86.469,88.467,87.651,85.92,84.744,84.562,86.829,87.192,87.374,85.921
