,0,1,2,3,4,5,6,7,8,9
0,28.848,32.707,32.48,33.152,32.257,32.495,31.126,30.444,28.399,30.207
1,39.687,47.646,47.828,43.97,43.515,45.793,44.646,43.96,45.111,41.49
2,54.197,57.626,67.156,72.323,68.944,71.187,67.323,70.975,69.848,68.707
3,51.934,55.758,68.697,71.874,71.874,71.202,70.965,72.556,71.662,72.116
4,62.586,66.197,72.364,73.934,73.687,74.833,77.778,78.444,77.333,77.545
5,66.449,71.419,73.924,76.429,76.859,77.56,77.56,77.788,77.121,76.212
6,67.818,70.763,76.889,78.465,78.015,78.02,80.061,78.914,80.278,78.929
7,68.253,71.434,80.727,80.742,80.04,80.505,82.561,82.323,83.237,82.783
8,72.323,74.152,80.722,82.101,82.313,80.954,83.672,82.081,84.136,84.354
9,72.556,74.838,81.853,83.914,83.889,83.672,86.611,86.854,83.677,87.525
10,73.94,78.465,82.313,85.712,85.03,85.692,87.742,87.965,87.763,86.379
11,73.94,77.343,82.768,85.268,86.384,85.475,85.929,86.374,87.06,88.202
12,75.071,78.02,81.404,86.172,85.929,85.924,85.924,87.056,87.965,87.515
