,0,1,2,3,4,5,6,7,8,9
0,0.056,0.088,0.124,0.153,0.177,0.219,0.235,0.275,0.308,0.328
1,0.062,0.093,0.125,0.157,0.179,0.212,0.242,0.268,0.296,0.335
2,0.057,0.091,0.178,0.203,0.19,0.222,0.258,0.283,0.313,0.347
3,0.059,0.098,0.126,0.154,0.194,0.221,0.258,0.289,0.317,0.351
4,0.06,0.095,0.129,0.161,0.195,0.222,0.261,0.289,0.328,0.356
5,0.061,0.097,0.129,0.158,0.201,0.224,0.264,0.292,0.326,0.365
6,0.063,0.099,0.129,0.166,0.2,0.233,0.265,0.299,0.328,0.362
7,0.064,0.098,0.135,0.165,0.205,0.236,0.28,0.307,0.338,0.373
8,0.064,0.105,0.131,0.172,0.204,0.247,0.271,0.315,0.353,0.382
9,0.064,0.098,0.141,0.173,0.204,0.243,0.279,0.312,0.348,0.383
10,0.064,0.103,0.139,0.172,0.217,0.239,0.283,0.318,0.348,0.384
11,0.065,0.101,0.136,0.183,0.207,0.25,0.281,0.316,0.36,0.393
12,0.063,0.102,0.142,0.174,0.218,0.244,0.29,0.321,0.358,0.392
