,0,1,2,3,4,5,6,7,8,9
0,28.848,32.707,32.48,33.152,32.257,32.495,31.126,30.444,28.399,30.207
1,41.05,43.551,45.338,43.071,44.197,45.344,44.202,43.061,44.869,43.98
2,59.889,63.742,69.626,69.838,69.177,69.636,66.652,70.298,70.298,68.495
3,62.631,70.98,72.338,72.091,70.752,70.975,70.742,70.298,71.207,71.889
4,69.642,73.924,76.652,75.05,74.828,76.192,76.646,77.546,77.323,75.955
5,70.985,76.636,77.551,76.849,74.354,76.419,77.758,78.212,77.086,77.768
6,70.768,79.136,79.818,80.258,78.904,78.702,80.727,80.722,80.49,79.136
7,81.429,85.48,83.672,85.02,82.308,83.232,82.551,83.0,83.45,81.869
8,84.601,86.157,85.934,84.566,83.662,83.672,86.394,83.207,84.808,84.571
9,84.818,87.52,87.288,85.702,85.263,85.712,87.758,85.94,87.515,86.838
10,85.717,87.98,87.742,85.702,84.808,85.712,87.753,86.162,86.621,86.384
11,85.944,87.98,87.97,86.838,85.49,85.712,89.106,86.606,86.833,87.288
12,86.394,87.071,87.742,86.384,85.944,84.803,87.52,86.838,86.611,86.611
