,0,1,2,3,4,5,6,7,8,9
0,0.061,0.094,0.129,0.181,0.188,0.245,0.273,0.32,0.358,0.348
1,0.067,0.102,0.141,0.162,0.204,0.241,0.272,0.304,0.345,0.385
2,0.072,0.113,0.159,0.207,0.23,0.292,0.318,0.371,0.411,0.453
3,0.073,0.124,0.174,0.204,0.261,0.289,0.363,0.386,0.42,0.471
4,0.08,0.132,0.163,0.22,0.262,0.322,0.343,0.397,0.454,0.492
5,0.101,0.173,0.294,0.432,0.851,0.837,0.67,0.589,0.709,0.836
6,0.13,0.219,0.43,0.32,0.4,0.471,0.545,0.612,0.693,0.761
7,0.115,0.202,0.284,0.363,0.452,0.531,0.621,0.693,0.778,0.872
8,0.122,0.218,0.31,0.405,0.504,0.594,0.682,0.78,0.868,0.961
9,0.154,0.268,0.369,0.482,0.6,0.706,0.806,0.937,1.039,1.134
10,0.165,0.257,0.359,0.47,0.584,0.687,0.795,0.906,1.013,1.116
11,0.154,0.278,0.394,0.507,0.627,0.757,0.868,0.98,1.099,1.234
12,0.167,0.292,0.423,0.556,0.687,0.813,0.955,1.07,1.196,1.325
