,0,1,2,3,4,5,6,7,8,9
0,0.058,0.093,0.124,0.152,0.184,0.213,0.248,0.272,0.322,0.341
1,0.058,0.096,0.124,0.158,0.189,0.225,0.259,0.289,0.318,0.35
2,0.07,0.101,0.14,0.18,0.214,0.256,0.29,0.331,0.367,0.399
3,0.068,0.107,0.147,0.187,0.222,0.262,0.299,0.339,0.376,0.414
4,0.072,0.107,0.152,0.19,0.231,0.271,0.32,0.357,0.402,0.492
5,0.107,0.18,0.247,0.313,0.388,0.454,0.517,0.607,0.65,0.726
6,0.115,0.189,0.268,0.35,0.422,0.578,0.619,0.927,0.71,0.796
7,0.118,0.202,0.29,0.374,0.457,0.544,0.624,0.783,0.842,0.939
8,0.138,0.24,0.333,0.436,0.551,0.66,0.683,0.757,0.849,1.002
9,0.161,0.262,0.352,0.444,0.55,0.648,0.751,0.853,0.955,1.05
10,0.156,0.276,0.381,0.49,0.61,0.715,0.835,0.948,1.055,1.174
11,0.17,0.286,0.413,0.553,0.674,0.79,0.927,1.041,1.17,1.292
12,0.182,0.325,0.454,0.594,0.727,0.86,1.007,1.15,1.269,1.425
